2026-06-30 15:22:00 info: Congratulations, your extension "Embold" is now active!
2026-06-30 15:22:00 info: ************* init ****************
2026-06-30 15:22:00 info: tempDirectory : c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extraction complete for source: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\resources\embold-scanner-archive.zip, destination: c:\Users\Acer\.vscode\extensions\embold-vscode.embold-0.3.8\temp
2026-06-30 15:22:07 info: Extension installed on machine OS : win32
2026-06-30 15:22:07 info: Loading issues from local database on startup (checkbox unchecked)
2026-06-30 15:22:07 info: Using emboldDBDir: d:\Documents\Lesya\Rolling Scopes\summer_bootcamp_2026\js30-widgets\.embold
2026-06-30 15:22:07 info: NO_PROXY set from VS Code http.noProxy: 
2026-06-30 15:22:07 info: NODE_TLS_REJECT_UNAUTHORIZED not set (SSL verification enabled)
2026-06-30 15:22:07 info: Using system certificates for SSL verification
2026-07-03 22:18:17 info: Row(s) deleted
2026-07-03 22:19:02 info: Row(s) deleted
2026-07-03 22:55:42 info: Row(s) deleted
2026-07-03 23:05:33 info: Row(s) deleted
2026-07-03 23:05:51 info: Row(s) deleted
2026-07-04 14:45:39 info: Row(s) deleted
2026-07-04 14:45:39 info: Row(s) deleted
2026-07-04 15:48:07 info: Row(s) deleted
2026-07-04 15:48:07 info: Row(s) deleted
2026-07-04 15:59:47 info: Row(s) deleted
2026-07-04 16:00:59 info: Row(s) deleted
2026-07-04 16:01:43 info: Row(s) deleted
2026-07-04 16:02:54 info: Row(s) deleted
2026-07-04 16:12:26 info: Row(s) deleted
2026-07-04 16:18:37 info: Row(s) deleted
2026-07-04 16:25:15 info: Row(s) deleted
2026-07-04 16:28:20 info: Row(s) deleted
2026-07-04 16:31:25 info: Row(s) deleted
2026-07-04 16:34:32 info: Row(s) deleted
2026-07-04 16:38:09 info: Row(s) deleted
2026-07-04 16:41:29 info: Row(s) deleted
2026-07-04 16:41:29 info: Row(s) deleted
2026-07-04 16:50:50 info: Row(s) deleted
2026-07-04 16:53:55 info: Row(s) deleted
2026-07-04 16:56:13 info: Row(s) deleted
2026-07-04 16:57:07 info: Row(s) deleted
2026-07-04 17:00:14 info: Row(s) deleted
2026-07-04 17:03:43 info: Row(s) deleted
2026-07-04 17:08:19 info: Row(s) deleted
2026-07-04 17:08:20 info: Row(s) deleted
2026-07-04 17:09:05 info: Row(s) deleted
2026-07-04 17:09:06 info: Row(s) deleted
2026-07-04 17:09:23 info: Row(s) deleted
2026-07-04 17:09:47 info: Row(s) deleted
2026-07-04 17:09:53 info: Row(s) deleted
2026-07-04 17:19:01 info: Row(s) deleted
2026-07-04 17:24:59 info: Row(s) deleted
2026-07-04 17:24:59 info: Row(s) deleted
2026-07-04 17:28:14 info: Row(s) deleted
2026-07-04 17:31:24 info: Row(s) deleted
2026-07-04 17:31:24 info: Row(s) deleted
2026-07-04 17:40:24 info: Row(s) deleted
2026-07-04 17:43:27 info: Row(s) deleted
2026-07-04 18:00:37 info: Row(s) deleted
2026-07-04 18:13:04 info: Row(s) deleted
2026-07-04 18:16:10 info: Row(s) deleted
2026-07-04 18:19:12 info: Row(s) deleted
2026-07-04 18:22:14 info: Row(s) deleted
2026-07-04 18:27:06 info: Row(s) deleted
2026-07-04 18:30:07 info: Row(s) deleted
2026-07-04 18:30:09 info: Row(s) deleted
2026-07-04 18:30:20 info: Row(s) deleted
2026-07-04 18:30:20 info: Row(s) deleted
2026-07-04 18:37:42 info: Row(s) deleted
2026-07-04 18:39:27 info: Row(s) deleted
2026-07-04 18:39:39 info: Row(s) deleted
2026-07-04 18:42:43 info: Row(s) deleted
2026-07-04 19:02:22 info: Row(s) deleted
2026-07-04 19:06:48 info: Row(s) deleted
2026-07-04 19:11:26 info: Row(s) deleted
2026-07-04 19:30:07 info: Row(s) deleted
2026-07-04 19:31:09 info: Row(s) deleted
2026-07-04 19:31:59 info: Row(s) deleted
2026-07-04 19:32:06 info: Row(s) deleted
2026-07-04 19:42:49 info: Row(s) deleted
2026-07-04 19:47:17 info: Row(s) deleted
2026-07-04 21:04:32 info: Row(s) deleted
2026-07-04 21:05:23 info: Row(s) deleted
2026-07-04 21:06:03 info: Row(s) deleted
2026-07-04 21:22:47 info: Row(s) deleted
2026-07-04 21:22:49 info: Row(s) deleted
2026-07-04 21:23:19 info: Row(s) deleted
2026-07-04 21:57:00 info: Row(s) deleted
2026-07-04 22:21:08 info: Row(s) deleted
2026-07-04 22:24:13 info: Row(s) deleted
2026-07-04 22:30:43 info: Row(s) deleted
2026-07-04 22:33:46 info: Row(s) deleted
2026-07-04 22:58:49 info: Row(s) deleted
2026-07-04 23:01:52 info: Row(s) deleted
2026-07-04 23:04:54 info: Row(s) deleted
2026-07-04 23:07:59 info: Row(s) deleted
2026-07-04 23:11:03 info: Row(s) deleted
2026-07-04 23:17:11 info: Row(s) deleted
2026-07-04 23:17:11 info: Row(s) deleted
2026-07-04 23:20:58 info: Row(s) deleted
2026-07-04 23:24:00 info: Row(s) deleted
2026-07-04 23:30:06 info: Row(s) deleted
2026-07-04 23:39:22 info: Row(s) deleted
2026-07-04 23:42:27 info: Row(s) deleted
2026-07-04 23:52:19 info: Row(s) deleted
2026-07-05 00:10:47 info: Row(s) deleted
2026-07-05 00:13:50 info: Row(s) deleted
2026-07-05 00:16:55 info: Row(s) deleted
2026-07-05 00:26:07 info: Row(s) deleted
2026-07-05 00:31:23 info: Row(s) deleted
2026-07-05 00:31:50 info: Row(s) deleted
2026-07-05 00:31:50 info: Row(s) deleted
2026-07-05 00:35:42 info: Row(s) deleted
2026-07-05 00:45:24 info: Row(s) deleted
2026-07-05 00:50:34 info: Row(s) deleted
2026-07-05 01:15:44 info: Row(s) deleted
2026-07-05 01:16:09 info: Row(s) deleted
2026-07-05 17:24:23 info: Row(s) deleted
2026-07-05 17:24:24 info: Row(s) deleted
2026-07-05 17:29:05 info: Row(s) deleted
2026-07-05 17:29:05 info: Row(s) deleted
2026-07-05 17:29:47 info: Row(s) deleted
2026-07-05 17:33:45 info: Row(s) deleted
2026-07-05 17:33:45 info: Row(s) deleted
2026-07-05 17:48:07 info: Row(s) deleted
2026-07-05 17:48:08 info: Row(s) deleted
2026-07-05 17:48:51 info: Row(s) deleted
2026-07-05 17:49:52 info: Row(s) deleted
2026-07-05 17:49:53 info: Row(s) deleted
2026-07-05 17:51:33 info: Row(s) deleted
2026-07-05 17:51:34 info: Row(s) deleted
2026-07-05 17:56:15 info: Row(s) deleted
2026-07-05 17:56:17 info: Row(s) deleted
2026-07-05 17:56:55 info: Row(s) deleted
2026-07-05 17:56:56 info: Row(s) deleted
2026-07-05 17:57:43 info: Row(s) deleted
2026-07-05 17:57:44 info: Row(s) deleted
2026-07-05 17:58:29 info: Row(s) deleted
2026-07-05 17:59:30 info: Row(s) deleted
2026-07-05 17:59:31 info: Row(s) deleted
2026-07-05 18:00:54 info: Row(s) deleted
2026-07-05 18:00:55 info: Row(s) deleted
2026-07-05 18:03:28 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:03:30 info: Row(s) deleted
2026-07-05 18:26:01 info: Row(s) deleted
2026-07-05 18:26:21 info: Row(s) deleted
2026-07-05 18:26:21 info: Row(s) deleted
